日期,开盘,最高,最低,收盘,成交量,收益率,MA5,MA20,MA5_Ratio,明天收盘价,Target
2025-02-06,16.08,16.08,15.61,15.81,2001627,-0.010018785222291826,15.684000000000001,15.5435,1.0080336648814077,16.12,1
2025-02-07,15.85,16.16,15.66,16.12,2165528,0.019607843137254832,15.831999999999999,15.6155,1.018191005558363,16.37,1
2025-02-10,16.31,16.56,16.24,16.37,2212065,0.015508684863523525,16.002000000000002,15.6805,1.02299712535933,16.78,1
2025-02-11,16.54,17.08,16.42,16.78,2925262,0.02504581551618812,16.21,15.77,1.0351634793337445,16.48,0
2025-02-12,16.53,16.62,16.37,16.48,1582010,-0.017878426698450522,16.312,15.818000000000001,1.0102991662579694,16.51,1
2025-02-13,16.58,16.7,16.48,16.51,1272922,0.001820388349514701,16.452,15.876,1.0035254072453197,16.66,1
2025-02-14,16.65,16.84,16.51,16.66,1155270,0.009085402786190189,16.560000000000002,15.938000000000002,1.006038647342995,16.0,0
2025-02-17,16.21,16.21,15.91,16.0,2385440,-0.03961584633853543,16.486,15.9555,0.9705204415868008,15.91,0
2025-02-18,15.91,16.09,15.81,15.91,1449983,-0.005624999999999991,16.312,15.956,0.9753555664541441,15.85,0
2025-02-19,16.01,16.11,15.79,15.85,1566817,-0.0037712130735386706,16.186,15.953,0.9792413196589645,15.94,1
2025-02-20,15.88,15.98,15.62,15.94,1300819,0.005678233438485725,16.072,15.986,0.9917869586859134,15.69,0
2025-02-21,15.98,16.06,15.63,15.69,2061611,-0.015683814303638632,15.878,15.987,0.9881597178485955,15.58,0
2025-02-24,15.49,15.72,15.3,15.58,1735860,-0.007010834926704845,15.794,15.977500000000001,0.9864505508420919,15.28,0
2025-02-25,15.56,15.63,15.25,15.28,1558633,-0.019255455712451908,15.668000000000001,15.952000000000002,0.9752361501148837,15.36,1
2025-02-26,15.33,15.59,15.18,15.36,1575441,0.005235602094240788,15.569999999999999,15.9325,0.9865125240847785,15.25,0
2025-02-27,15.37,15.37,15.11,15.25,1363072,-0.007161458333333259,15.431999999999999,15.91,0.9882063245204771,14.85,0
2025-02-28,15.11,15.17,14.85,14.85,1793746,-0.02622950819672132,15.264,15.883500000000002,0.972877358490566,15.14,1
2025-03-03,14.98,15.36,14.95,15.14,1461700,0.019528619528619506,15.175999999999998,15.864499999999998,0.9976278334211915,15.43,1
2025-03-04,15.19,15.56,15.1,15.43,1529355,0.019154557463672228,15.206,15.849,1.014731027226095,15.51,1
2025-03-05,15.43,15.59,15.31,15.51,1237582,0.005184705119896327,15.235999999999999,15.825999999999999,1.0179837227618798,15.8,1
2025-03-06,15.75,15.99,15.69,15.8,1782082,0.01869761444229545,15.346,15.8255,1.0295842564837743,15.93,1
2025-03-07,15.83,16.25,15.7,15.93,1932341,0.008227848101265867,15.562000000000001,15.815999999999999,1.023647346099473,16.15,1
2025-03-10,16.0,16.19,15.81,16.15,1631583,0.013810420590081529,15.764,15.804999999999998,1.024486171022583,15.98,0
2025-03-11,15.78,15.98,15.6,15.98,1800006,-0.010526315789473606,15.873999999999999,15.765,1.0066775859896688,16.19,1
2025-03-12,16.05,16.22,15.78,16.19,1623982,0.013141426783479293,16.009999999999998,15.750499999999999,1.0112429731417867,16.46,1
2025-03-13,16.38,16.58,16.24,16.46,2097682,0.016676961087090714,16.142000000000003,15.748000000000001,1.0197001610704992,16.98,1
2025-03-14,16.89,17.13,16.68,16.98,2989816,0.03159173754556499,16.351999999999997,15.764,1.0384050880626225,16.71,0
2025-03-17,16.99,17.2,16.61,16.71,2367763,-0.01590106007067138,16.464000000000002,15.7995,1.014941690962099,17.26,1
2025-03-18,16.9,17.45,16.86,17.26,2552060,0.03291442250149612,16.72,15.867,1.0322966507177036,17.55,1
2025-03-19,17.28,17.55,17.19,17.55,1892852,0.016801853997682414,16.992,15.952000000000002,1.0328389830508475,17.67,1
2025-03-20,17.8,17.93,17.51,17.67,2325790,0.006837606837606813,17.234,16.0385,1.0252988278983406,17.07,0
2025-03-21,17.5,17.56,16.9,17.07,2514754,-0.03395585738539908,17.252000000000002,16.107499999999998,0.9894504984929282,17.55,1
2025-03-24,17.16,17.85,16.98,17.55,2696252,0.02811950790861162,17.419999999999998,16.206,1.0074626865671643,17.9,1
2025-03-25,17.55,17.92,17.43,17.9,2266251,0.019943019943019724,17.548000000000002,16.337,1.0200592660132206,17.7,0
2025-03-26,18.2,18.46,17.6,17.7,3229224,-0.011173184357541888,17.578,16.454,1.006940493799067,17.36,0
2025-03-27,17.4,17.63,17.1,17.36,2255314,-0.019209039548022555,17.516,16.559500000000003,0.9910938570449875,17.66,1
2025-03-28,17.55,17.84,17.31,17.66,1863644,0.017281105990783363,17.634,16.7,1.0014744244073948,17.62,0
2025-03-31,17.57,17.81,17.48,17.62,1606776,-0.0022650056625140857,17.648000000000003,16.824,0.9984134179510424,17.43,0
2025-04-01,17.7,17.83,17.3,17.43,1534227,-0.010783200908059065,17.554,16.924,0.9929360829440584,17.0,0
2025-04-02,17.26,17.35,16.94,17.0,1580990,-0.024670109007458363,17.413999999999998,16.9985,0.9762260250373264,16.61,0
2025-04-03,16.85,16.98,16.37,16.61,2164268,-0.022941176470588243,17.264,17.039,0.9621177015755329,14.91,0
2025-04-07,14.9,15.35,14.9,14.91,4880359,-0.10234798314268512,16.714,16.988,0.8920665310518129,15.45,1
2025-04-08,15.04,15.45,14.71,15.45,3733607,0.03621730382293764,16.279999999999998,16.953,0.9490171990171992,15.42,0
