日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-25 09:45:00,1470.0,1471.03,1481.99,1467.88,0.29,4.23,4501,663374974.0,0.96,0.04
2026-02-25 10:00:00,1472.03,1476.2,1478.0,1470.01,0.35,5.17,2251,331810535.0,0.54,0.02
2026-02-25 10:15:00,1476.21,1476.15,1482.0,1475.49,0.0,-0.05,2844,420577874.0,0.44,0.02
2026-02-25 10:30:00,1477.86,1473.86,1479.03,1473.86,-0.16,-2.29,1380,203676418.0,0.35,0.01
2026-02-25 10:45:00,1473.99,1480.0,1480.0,1473.99,0.42,6.14,956,141372544.0,0.41,0.01
2026-02-25 11:00:00,1480.0,1485.59,1489.0,1479.39,0.38,5.59,2792,414735811.0,0.65,0.02
2026-02-25 11:15:00,1486.89,1496.0,1496.66,1486.89,0.7,10.41,2423,361499913.0,0.66,0.02
2026-02-25 11:30:00,1495.0,1504.77,1506.6,1491.58,0.59,8.77,3898,584634874.0,1.0,0.03
2026-02-25 13:15:00,1505.5,1494.9,1509.66,1491.61,-0.66,-9.87,4048,607315686.0,1.2,0.03
2026-02-25 13:30:00,1494.11,1495.06,1497.8,1491.51,0.01,0.16,2025,302679448.0,0.42,0.02
2026-02-25 13:45:00,1494.01,1496.91,1497.66,1492.05,0.12,1.85,1546,231086991.0,0.38,0.01
2026-02-25 14:00:00,1497.08,1496.07,1497.1,1493.7,-0.06,-0.84,1404,209948926.0,0.23,0.01
2026-02-25 14:15:00,1496.07,1495.0,1498.57,1494.91,-0.07,-1.07,1533,229392827.0,0.24,0.01
2026-02-25 14:30:00,1495.05,1492.41,1496.65,1492.08,-0.17,-2.59,1660,248013657.0,0.31,0.01
2026-02-25 14:45:00,1492.42,1492.99,1493.98,1489.52,0.04,0.58,1383,206252107.0,0.3,0.01
2026-02-25 15:00:00,1492.1,1491.66,1494.01,1490.99,-0.09,-1.33,2237,333943564.0,0.2,0.02
2026-02-26 09:45:00,1486.6,1479.0,1489.49,1478.6,-0.85,-12.66,5272,782271830.0,0.73,0.04
2026-02-26 10:00:00,1479.05,1476.2,1480.63,1468.0,-0.19,-2.8,4438,653810264.0,0.85,0.04
2026-02-26 10:15:00,1476.84,1475.56,1479.98,1473.39,-0.04,-0.64,1740,257000790.0,0.45,0.01
2026-02-26 10:30:00,1475.98,1469.42,1480.94,1469.0,-0.42,-6.14,2001,295121046.0,0.81,0.02
2026-02-26 10:45:00,1469.32,1473.32,1474.06,1468.29,0.27,3.9,1845,271413989.0,0.39,0.01
2026-02-26 11:00:00,1473.0,1476.91,1477.56,1472.62,0.24,3.59,1323,195083730.0,0.34,0.01
2026-02-26 11:15:00,1477.68,1477.88,1479.3,1473.84,0.07,0.97,1180,174353201.0,0.37,0.01
2026-02-26 11:30:00,1477.79,1473.3,1478.89,1473.3,-0.31,-4.58,1177,173829788.0,0.38,0.01
2026-02-26 13:15:00,1473.77,1470.03,1473.99,1470.02,-0.22,-3.27,1793,263805385.0,0.27,0.01
2026-02-26 13:30:00,1471.07,1469.3,1472.81,1468.88,-0.05,-0.73,1621,238302860.0,0.27,0.01
2026-02-26 13:45:00,1469.26,1468.77,1470.88,1468.14,-0.04,-0.53,1571,230877402.0,0.19,0.01
2026-02-26 14:00:00,1468.51,1468.53,1469.57,1466.85,-0.02,-0.24,1826,268091292.0,0.19,0.01
2026-02-26 14:15:00,1468.53,1466.01,1468.54,1464.67,-0.17,-2.52,2317,339672472.0,0.26,0.02
2026-02-26 14:30:00,1466.72,1467.04,1467.86,1465.24,0.07,1.03,854,125273784.0,0.18,0.01
2026-02-26 14:45:00,1467.12,1466.0,1467.79,1464.99,-0.07,-1.04,1659,243179480.0,0.19,0.01
2026-02-26 15:00:00,1466.81,1466.21,1468.87,1465.22,0.01,0.21,2341,343384117.0,0.25,0.02
2026-02-27 09:45:00,1466.99,1466.54,1476.21,1464.33,0.02,0.33,3644,535793649.0,0.81,0.03
2026-02-27 10:00:00,1466.2,1459.41,1470.02,1459.41,-0.49,-7.13,2769,405565402.0,0.72,0.02
2026-02-27 10:15:00,1459.2,1461.02,1462.51,1459.11,0.11,1.61,1561,228014557.0,0.23,0.01
2026-02-27 10:30:00,1461.06,1459.58,1461.5,1456.01,-0.1,-1.44,2063,300962843.0,0.38,0.02
2026-02-27 10:45:00,1459.47,1462.0,1464.99,1459.47,0.17,2.42,1058,154718067.0,0.38,0.01
