日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2008-05-26,601899,3.96,3.65,3.96,3.63,490581,451854459.0,8.27,-8.52,-0.34,4.67,2008-05-26,0,-0.08521303258145374,0,4.056,4.788,-0.10009861932938857,-0.23767752715121138,21.785714285714263,-0.6317219374408314,-0.5820433648641481,-0.04967857257668329,4.788,0.7147734274800508,6.217546854960101,3.3584531450398987
2008-05-27,601899,3.61,3.73,3.82,3.61,377203,346679869.0,5.75,2.19,0.08,3.59,2008-05-27,0,0.021917808219177992,0,3.964,4.6305,-0.059031281533804214,-0.19447143936939848,26.538461538461533,-0.639240561358096,-0.5934828041629377,-0.04575775719515829,4.6305,0.5597882588415397,5.750076517683079,3.51092348231692
2008-05-28,601899,3.67,3.71,3.78,3.55,630645,573899126.0,6.17,-0.54,-0.02,6.01,2008-05-28,0,-0.00536193029490617,0,3.878,4.5185,-0.04332129963898923,-0.17893106119287383,20.901639344262293,-0.6394418699957471,-0.6026746173294997,-0.036767252666247474,4.5185,0.503109018216258,5.524718036432517,3.5122819635674842
2008-05-29,601899,3.67,3.45,3.7,3.43,567924,508495911.0,7.28,-7.01,-0.26,5.41,2008-05-29,0,-0.07008086253369261,0,3.7060000000000004,4.4350000000000005,-0.06907717215326503,-0.2220969560315671,21.88841201716737,-0.6530532443415336,-0.6127503427319065,-0.04030290160962702,4.4350000000000005,0.5355616825254347,5.50612336505087,3.363876634949131
2008-05-30,601899,3.37,3.37,3.39,3.21,613153,522894841.0,5.22,-2.32,-0.08,5.84,2008-05-30,0,-0.023188405797101463,0,3.582,4.372999999999999,-0.05918481295365707,-0.2293619940544247,21.25,-0.6626569906883284,-0.6227316723231909,-0.03992531836513746,4.372999999999999,0.5838357735924689,5.540671547184937,3.2053284528150616
2008-06-02,601899,3.37,3.95,3.95,3.31,985665,902573523.0,18.99,17.21,0.58,9.39,2008-06-02,0,0.17210682492581597,0,3.6420000000000003,4.305,0.08456891817682588,-0.08246225319396039,39.92673992673993,-0.6163618404963489,-0.6214577059578226,0.00509586546147367,4.305,0.5469965842287278,5.398993168457455,3.2110068315425444
2008-06-03,601899,4.02,3.89,4.26,3.81,1784184,1733892922.0,11.39,-1.52,-0.06,16.99,2008-06-03,0,-0.015189873417721489,0,3.6740000000000004,4.238,0.05879150789330412,-0.08211420481359133,34.86590038314178,-0.5778529696565209,-0.6127367586975623,0.03488378904104139,4.238,0.5084403396145603,5.254880679229121,3.22111932077088
2008-06-04,601899,3.73,3.69,3.91,3.6,545298,500209766.0,7.97,-5.14,-0.2,5.19,2008-06-04,0,-0.05141388174807204,0,3.6700000000000004,4.175,0.005449591280653809,-0.11616766467065864,34.21052631578948,-0.55705139883151,-0.6015996867243518,0.04454828789284182,4.175,0.4934145262726293,5.161829052545258,3.1881709474547413
2008-06-05,601899,3.62,3.77,3.93,3.57,524220,486263072.0,9.76,2.17,0.08,4.99,2008-06-05,0,0.02168021680216814,0,3.7340000000000004,4.107,0.009641135511515797,-0.08205502800097397,36.53136531365314,-0.5280239413608432,-0.5868845376516502,0.05886059629080698,4.107,0.44634303541464504,4.9996860708292905,3.21431392917071
2008-06-06,601899,3.73,3.72,3.85,3.67,283154,261547345.0,4.77,-1.33,-0.05,2.7,2008-06-06,0,-0.013262599469495928,0,3.804,4.055000000000001,-0.022082018927444658,-0.0826140567200987,33.95522388059703,-0.5032528685121913,-0.5701582038237584,0.06690533531156706,4.055000000000001,0.42639862742941076,4.9077972548588225,3.202202745141179
2008-06-10,601899,3.51,3.11,3.55,3.11,547063,464216519.0,11.83,-16.4,-0.61,5.21,2008-06-10,0,-0.163978494623656,0,3.636,3.9730000000000003,-0.14466446644664477,-0.21721620941354147,31.379310344827587,-0.5267712260408866,-0.561480808267184,0.0347095822262975,3.9730000000000003,0.4430765646084936,4.859153129216987,3.0868468707830132
